Id,Category
0,0
1,1
2,1
3,1
4,0
5,1
6,1
7,0
8,1
9,1
10,1
11,0
12,0
13,1
14,1
15,0
16,0
17,1
18,1
19,1
20,0
21,1
22,0
23,0
24,1
25,1
26,0
27,0
28,0
29,0
30,1
31,1
32,1
33,0
34,1
35,0
36,0
37,0
38,1
39,0
40,0
41,0
42,1
43,0
44,1
45,0
46,1
47,1
48,1
49,1
50,0
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,0
59,0
60,1
61,1
62,1
63,0
64,1
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,1
73,1
74,0
75,1
76,1
77,0
78,1
79,0
80,1
81,0
82,0
83,1
84,0
85,1
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,1
95,1
96,0
97,1
98,0
99,0
100,0
101,0
102,1
103,0
104,1
105,0
106,0
107,0
108,0
109,1
110,0
111,1
112,1
113,1
114,0
115,0
116,0
117,0
118,0
119,1
120,0
121,1
122,0
123,1
124,0
125,1
126,1
127,0
128,0
129,1
130,0
131,1
132,0
133,0
134,1
135,1
136,1
137,1
138,0
139,0
140,1
141,0
142,0
143,0
144,1
145,1
146,1
147,1
148,0
149,1
150,0
151,0
152,0
153,0
154,0
155,0
156,1
157,1
158,1
159,0
160,0
161,0
162,0
163,1
164,0
165,0
166,0
167,1
168,0
169,0
170,1
171,0
172,0
173,1
174,1
175,0
176,1
177,0
178,1
179,0
180,1
181,0
182,0
183,1
184,0
185,0
186,1
187,1
188,0
189,1
190,0
191,0
192,0
193,0
194,0
195,1
196,1
197,0
198,0
199,1
200,0
201,1
202,0
203,1
204,0
205,1
206,1
207,0
208,1
209,1
210,1
211,1
212,1
213,0
214,0
215,0
216,0
217,1
218,1
219,1
220,1
221,0
222,1
223,0
224,0
225,0
226,1
227,0
228,0
229,1
230,0
231,0
232,1
233,1
234,0
235,1
236,1
237,0
238,0
239,0
240,1
241,1
242,0
243,0
244,0
245,1
246,0
247,1
248,0
249,1
250,1
251,1
252,0
253,1
254,0
255,0
256,1
257,1
258,1
259,0
260,1
261,0
262,0
263,0
264,0
265,0
266,1
267,0
268,1
269,0
270,0
271,0
272,0
273,1
274,0
275,0
276,0
277,0
278,1
279,0
280,1
281,0
282,0
283,0
284,1
285,0
286,0
287,1
288,0
289,1
290,0
291,0
292,0
293,1
294,1
295,0
296,0
297,1
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,1
306,1
307,0
308,0
309,1
310,0
311,0
312,1
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,1
321,1
322,0
323,0
324,0
325,0
326,0
327,1
328,1
329,1
330,1
331,0
332,0
333,0
334,1
335,0
336,1
337,1
338,1
339,1
340,1
341,0
342,0
343,1
344,0
345,1
346,1
347,0
348,0
349,1
350,0
351,0
352,1
353,0
354,1
355,0
356,1
357,0
358,1
359,0
360,1
361,0
362,0
363,1
364,0
365,1
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,1
375,0
376,0
377,1
378,0
379,1
380,0
381,1
382,0
383,0
384,1
385,0
386,0
387,0
388,1
389,1
390,1
391,1
392,1
393,0
394,0
395,1
396,0
397,1
398,0
399,1
400,0
401,0
402,0
403,0
404,1
405,1
406,0
407,0
408,0
409,0
410,1
411,1
412,1
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,1
421,0
422,0
423,0
424,1
425,0
426,0
427,0
428,0
429,1
430,0
431,1
432,1
433,0
434,0
435,0
436,0
437,1
438,0
439,0
440,1
441,1
442,1
443,1
444,0
445,1
446,1
447,0
448,1
449,0
450,1
451,0
452,1
453,1
454,0
455,1
456,1
457,0
458,0
459,1
460,0
461,0
462,0
463,1
464,0
465,0
466,0
467,0
468,1
469,1
470,0
471,0
472,0
473,0
474,0
475,0
476,1
477,1
478,0
479,0
480,0
481,0
482,1
483,0
484,0
485,0
486,0
487,1
488,0
489,1
490,1
491,0
492,0
493,1
494,0
495,1
496,1
497,1
498,0
499,1
500,1
501,0
502,1
503,1
504,1
505,1
506,1
507,0
508,1
509,0
510,1
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,1
524,0
525,1
526,0
527,0
528,0
529,1
530,0
531,1
532,0
533,0
534,0
535,1
536,1
537,1
538,1
539,1
540,0
541,0
542,0
543,1
544,0
545,0
546,1
547,1
548,1
549,0
550,0
551,1
552,0
553,0
554,1
555,0
556,0
557,0
558,1
559,1
560,0
561,0
562,0
563,0
564,1
565,1
566,1
567,0
568,0
569,1
570,0
571,0
572,1
573,1
574,0
575,0
576,0
577,1
578,1
579,0
580,0
581,0
582,0
583,1
584,1
585,1
586,1
587,1
588,0
589,0
590,0
591,1
592,1
593,0
594,0
595,1
596,1
597,0
598,0
599,0
600,1
601,1
602,0
603,1
604,0
605,1
606,1
607,0
608,0
609,1
610,1
611,1
612,0
613,1
614,0
615,0
616,1
617,0
618,0
619,1
620,1
621,0
622,1
623,0
624,0
625,0
626,1
627,0
628,0
629,1
630,1
631,1
632,0
633,0
634,0
635,1
636,0
637,0
638,0
639,0
640,0
641,1
642,1
643,1
644,0
645,0
646,1
647,1
648,0
649,1
650,1
651,0
652,0
653,1
654,0
655,0
656,1
657,0
658,0
659,0
660,1
661,0
662,1
663,0
664,0
665,0
666,1
667,1
668,0
669,1
670,1
671,1
672,0
673,0
674,1
675,1
676,0
677,1
678,1
679,0
680,1
681,0
682,0
683,0
684,1
685,1
686,1
687,0
688,0
689,1
690,1
691,1
692,0
693,0
694,1
695,0
696,1
697,0
698,1
699,1
700,1
701,0
702,0
703,1
704,0
705,0
706,0
707,0
708,1
709,0
710,0
711,1
712,1
713,0
714,1
715,1
716,1
717,0
718,1
719,0
720,1
721,0
722,1
723,0
724,1
725,1
726,0
727,1
728,0
729,1
730,0
731,0
732,1
733,1
734,0
735,1
736,1
737,0
738,0
739,0
740,0
741,1
742,0
743,0
744,1
745,0
746,0
747,1
748,0
749,1
750,0
751,0
752,0
753,1
754,0
755,1
756,0
757,0
758,1
759,0
760,1
761,1
762,0
763,0
764,0
765,1
766,1
767,0
768,0
769,1
770,0
771,0
772,0
773,1
774,1
775,1
776,1
777,1
778,1
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,1
788,0
789,0
790,0
791,0
792,0
793,1
794,1
795,1
796,1
797,0
798,1
799,0
800,0
801,1
802,1
803,0
804,0
805,0
806,1
807,1
808,0
809,0
810,0
811,0
812,1
813,0
814,0
815,0
816,0
817,0
818,1
819,0
820,0
821,1
822,0
823,0
824,0
825,0
826,0
827,1
828,0
829,1
830,1
831,1
832,0
833,0
834,0
835,1
836,0
837,0
838,1
839,1
840,1
841,1
842,0
843,0
844,0
845,0
846,1
847,0
848,1
849,1
850,1
851,0
852,0
853,1
854,0
855,1
856,1
857,0
858,0
859,1
860,0
861,1
862,1
863,1
864,0
865,1
866,0
867,1
868,0
869,0
870,0
871,0
872,0
873,1
874,0
875,0
876,0
877,0
878,0
879,1
880,1
881,0
882,1
883,1
884,0
885,0
886,0
887,1
888,0
889,0
890,0
891,0
892,0
893,1
894,1
895,1
896,0
897,0
898,0
899,1
900,0
901,0
902,1
903,0
904,1
905,0
906,0
907,1
908,1
909,0
910,0
911,0
912,0
913,0
914,0
915,1
916,1
917,0
918,0
919,1
920,1
921,0
922,1
923,1
924,0
925,1
926,1
927,0
928,1
929,1
930,1
931,0
932,0
933,1
934,1
935,1
936,0
937,1
938,0
939,1
940,1
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,1
953,0
954,0
955,1
956,0
957,0
958,0
959,1
960,1
961,0
962,0
963,1
964,0
965,0
966,1
967,0
968,0
969,1
970,1
971,0
972,0
973,1
974,0
975,1
976,1
977,1
978,0
979,0
980,1
981,1
982,0
983,0
984,1
985,1
986,1
987,0
988,0
989,1
990,0
991,0
992,0
993,0
994,0
995,1
996,0
997,0
998,0
999,1
1000,1
1001,1
1002,0
1003,1
1004,1
1005,0
1006,0
1007,1
1008,1
1009,0
1010,0
1011,1
1012,1
1013,1
1014,0
1015,1
1016,0
1017,0
1018,1
1019,1
1020,1
1021,0
1022,0
1023,1
1024,0
1025,0
1026,0
1027,0
1028,1
1029,0
1030,0
1031,0
1032,1
1033,1
1034,0
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,0
1042,1
1043,1
1044,0
1045,0
1046,0
1047,1
1048,0
1049,0
1050,1
1051,1
1052,1
1053,1
1054,1
1055,0
1056,0
1057,0
1058,0
1059,0
1060,1
